問題,正解,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5
1. [企業経営理論] ドメイン（事業領域）を物理的定義ではなく機能的定義で規定する利点として、最も適切なものはどれか。,3,事業範囲を限定し、経営資源の集中を図りやすくなる。,既存の技術や製品に固執し、組織の硬直化を招きやすくなる。,将来の事業展開に柔軟性を持たせ、事業機会の見落としを防げる。,顧客のニーズを無視し、自社の強みのみを強調できる。,競合他社との差別化が困難になる。
2. [企業経営理論] VRIO分析において、模倣困難性（Imitability）を高める要因として「経路依存性」がある。これの説明として適切なものは？,2,模倣しようとする資源が、多くの要因が複雑に絡み合って成立していること。,その資源が形成されるまでに、固有の歴史的プロセスや時間が必要であること。,どの資源が競争優位を生み出しているのか、外部から特定できないこと。,独自の組織文化や信頼関係が、模倣を物理的に不可能にしていること。,特許によって法的に保護されていること。
3. [財務・会計] 損益分岐点分析（CVP分析）において、損益分岐点売上高を引き下げる方法として適切なものはどれか。,1,固定費を削減する。,変動比率を高める。,販売単価を引き下げる。,安全余裕率を低く設定する。,広告宣伝費（固定費）を大幅に増やす。
4. [財務・会計] 自己資本比率を算出する際の計算式として正しいものはどれか。,4,自己資本 ÷ 流動負債,当期純利益 ÷ 自己資本,自己資本 ÷ 流動資産,自己資本 ÷ 総資産,売上高 ÷ 自己資本
5. [運営管理] 生産の3要素（3M）に含まれないものはどれか。,5,Man（人）,Machine（機械）,Material（材料）,Method（方法）,Money（資金）
6. [運営管理] かんばん方式（ジャストインタイム）の基本原則として不適切なものはどれか。,2,後工程引き取り方式である。,在庫を最大化して欠品を防ぐ。,工程の流動化を図る。,必要最小限の量を生産する。,かんばんが「生産指示票」の役割を果たす。
7. [経営法務] 株式会社の設立において、定款に記載しなければ効力を生じない「相対的記載事項」はどれか。,3,目的,発行可能株式総数,現物出資に関する事項,本店の所在地,設立に際して出資される財産の価額
8. [経営情報システム] 関係データベース（RDB）において、表と表を結合するために使用される、行を唯一に識別するための項目を何というか。,2,インデックス,主キー（プライマリキー）,外部キー,ビュー,スキーマ
9. [経済学] 市場において外部経済が存在する場合、市場メカニズムに任せると生産量はどうなるか。,1,社会的に最適な水準よりも過少になる。,社会的に最適な水準よりも過剰になる。,常に社会的に最適な水準と一致する。,価格が上昇し、需要がゼロになる。,政府が介入しなくても効率的資源配分が達成される。
10. [中小企業経営・政策] 中小企業基本法における「製造業」の定義として、資本金基準または従業員基準のいずれかを満たすものを選べ。,4,資本金1億円以下 または 従業員50人以下,"資本金5,000万円以下 または 従業員100人以下",資本金1億円以下 または 従業員300人以下,資本金3億円以下 または 従業員300人以下,"資本金5,000万円以下 または 従業員50人以下"
